"p2pk","p2ms","p2pkh","p2sh","p2fms","n"
233.28324658138524,163.79916190476206,196.40976141785973,189.03509785049738,2.7095600539811064,5
194.40270548448788,136.4993015873019,163.67480118154995,157.52924820874796,2.7095600539811064,6
166.63089041527564,116.9994013605448,140.29268672704313,135.02506989321273,2.7095600539811064,7
145.80202911336684,102.37447619047732,122.75610088616338,118.14693615656154,2.7095600539811064,8
129.6018036563273,90.99953439153663,109.11653412103533,105.0194988058333,2.7095600539811064,9
116.64162329069696,81.89958095238536,98.2048807089342,94.51754892525157,2.7095600539811064,10
106.03783935518378,74.45416450217323,89.277164280854,85.92504447750458,2.7095600539811064,11
97.20135274226108,68.24965079366808,81.83740059079213,78.7646241043854,2.7095600539811064,12
89.72432560825933,62.99967765571195,75.54221592998029,72.70580686559873,2.7095600539811064,13
83.31544520770558,58.499700680340155,70.14634336358932,67.51253494665154,2.7095600539811064,14
77.7610821939301,54.59972063505569,65.46992047275492,63.01169928358914,2.7095600539811064,15
72.90101455695105,51.18723809550631,61.37805044334934,59.0734680784592,2.7095600539811064,16
68.61271958329317,48.176224090168695,57.76757688813859,55.59855819167796,2.7095600539811064,17
64.80090182922146,45.49976719682614,54.55826706157549,52.50974940362187,2.7095600539811064,18
61.39032804983805,43.10504260862142,51.68677932259449,49.74607838311323,2.7095600539811064,19
58.320811649532324,40.94979048037652,49.10244035865094,47.25877446541502,2.7095600539811064,20
55.543630146751084,38.9998004618408,46.76422891734024,45.008356636621485,2.7095600539811064,21
53.01891969415184,37.22708226764657,44.638582156986956,42.962522249792265,2.7095600539811064,22
50.71374928978372,35.60851349051781,42.697774254234695,41.09458651121245,2.7095600539811064,23
48.60067643672235,34.124825462425854,40.91870036098788,39.382312095920575,2.7095600539811064,24
46.65664944686165,32.759832511537006,39.28195241415654,37.80701965715587,2.7095600539811064,25
44.86216306409753,31.499839087823844,37.77110822495801,36.352903606111276,2.7095600539811064,26
43.200601736465984,30.333178648202434,36.37217855803534,35.00649994707125,2.7095600539811064,27
41.65772363480839,29.249851371125676,35.073172712750264,33.756268160629496,2.7095600539811064,28
40.221251464086606,28.241236864668817,33.86375402209945,32.59225961908771,2.7095600539811064,29
38.8805451875258,27.299864408088595,32.734964326938204,31.505852368835065,2.7095600539811064,30
37.626338243347355,26.419227811633945,31.679001926649693,30.48953734442091,2.7095600539811064,31
36.45052351614281,25.593635285420433,30.689041459341947,29.53674486434112,2.7095600539811064,32
35.345978808405,24.818087190734822,29.75908711696174,28.641703063619584,2.7095600539811064,33
34.306424273996946,24.08817652743471,28.883852926419664,27.799322084072557,2.7095600539811064,34
33.32630660018332,23.400008789237148,28.058665862536824,27.005099656728007,2.7095600539811064,35
32.400707077381554,22.75013976118389,27.27938969355857,26.25504547699148,2.7095600539811064,36
31.525273683966745,22.135532511450098,26.542370283490325,25.545623914929255,2.7095600539811064,37
30.696181990765496,21.553539270157184,25.844407627143717,24.873717835454265,2.7095600539811064,38
29.910138045340428,21.001922061157963,25.182768152580742,24.2366219613689,2.7095600539811064,39
29.164452317544903,20.478941732967005,24.555266672104214,23.63208489456001,2.7095600539811064,40
28.45724497345808,19.98357611045526,23.960478490101316,23.058439754204645,2.7095600539811064,41
27.787904511799287,19.515989669344144,23.398203897093865,22.514904610593238,2.7095600539811064,42
27.158044675320568,19.078499945480658,22.87043012142225,22.002215845125402,2.7095600539811064,43
26.573449433132744,18.677530719880107,22.3832806645503,21.52392084893401,2.7095600539811064,44
26.047984206885687,18.327530353927553,21.95093029982729,21.088982078246815,2.7095600539811064,45
25.61142579489845,18.0588078952655,21.603438277123942,20.71699402227729,2.7095600539811064,46
25.325107358127628,17.933183456359203,21.402396170518532,20.448610592961742,2.7095600539811064,47
25.313153674580942,18.075228187432693,21.4721656367137,20.366366352106795,2.7095600539811064,48
25.824822045437976,18.73460932333357,22.062221518547616,20.63623511834374,2.7095600539811064,49
27.358910280190067,20.410501812527748,23.671561763837516,21.590566866417433,2.7095600539811064,50
30.91201790493905,24.099852740564224,27.296970339887526,23.893593648675758,2.7095600539811064,51
38.47396374251313,31.792801754376285,34.92843632294337,28.87170661003188,2.7095600539811064,52
54.016436559799274,47.46133423181596,50.53780588399499,39.17255520303353,2.7095600539811064,53
85.46599009115664,79.03227854702487,82.05177850194133,60.08037612215139,2.7095600539811064,54
148.64155431590711,142.32481934530503,145.28941930104116,102.14099985874783,2.7095600539811064,55
275.1127702371643,268.9088341053229,271.8204947761352,186.40073969348813,2.7095600539811064,56
527.8838157344894,521.7887205874173,524.6492994920749,354.86227482851115,2.7095600539811064,57
1032.6964084181316,1026.7064011184227,1029.517659697138,691.3533182669361,2.7095600539811064,58
2040.5085335242675,2034.6200517720115,2037.38366190024,1363.1791014565379,2.7095600539811064,59
4052.2012664041017,4046.4109260143837,4049.1284759738082,2704.2602553913102,2.7095600539811064,60
