"p2pkh","n","p2sh","p2ms","p2fms"
559.3856000000002,1,546.7456,355.39546666666695,1.0732266666666668
279.69280000000043,2,273.3728,177.69773333333382,1.0732266666666668
186.4618666666675,3,182.24853333333334,118.46515555555644,1.0732266666666668
139.84640000000164,4,136.68640000000005,88.84886666666834,1.0732266666666668
111.87712000000327,5,109.34912000000008,71.07909333333663,1.0732266666666668
93.23093333333976,6,91.12426666666686,59.232577777784236,1.0732266666666668
79.91222857144125,7,78.10651428571465,50.77078095239364,1.0732266666666668
69.92320000002502,8,68.34320000000075,44.42443333335838,1.0732266666666668
62.153955555605016,9,60.74951111111259,39.48838518523466,1.0732266666666668
55.93856000009786,10,54.674560000002934,35.53954666676454,1.0732266666666668
50.853236363830135,11,49.704145454551266,32.30867878807257,1.0732266666666668
46.615466667050654,12,45.562133333344846,29.616288889272887,1.0732266666666668
43.02966153922297,13,42.05735384617669,27.338112821274258,1.0732266666666668
39.95611428722499,14,39.05325714290246,25.3853904777012,1.0732266666666668
37.29237333633216,15,36.449706666756626,23.693031114109953,1.0732266666666668
34.961600005955376,16,34.17160000017866,22.212216672622052,1.0732266666666668
32.90503530594894,17,32.161505882707885,20.90561569810582,1.0732266666666668
31.076977801290543,18,30.374755556260933,19.744192616105366,1.0732266666666668
29.441347415163122,19,28.77608421192858,18.70502460814558,1.0732266666666668
27.9692800929463,20,27.33728000278839,17.76977342627963,1.0732266666666668
26.637409708678913,21,26.03550476745084,16.92359383566304,1.0732266666666668
25.42661854960577,22,24.852072738306354,16.154339761726984,1.0732266666666668
24.321113775324555,23,23.771547848042346,15.451977543440501,1.0732266666666668
23.307734789885604,24,22.781066710363238,14.808145900996719,1.0732266666666668
22.375426899406957,25,21.869824086982206,14.215821566073627,1.0732266666666668
21.514836541724108,26,21.02867709625172,13.669062182749755,1.0732266666666668
20.717996679517654,27,20.24983738186701,13.162806556060866,1.0732266666666668
19.978080033898433,28,19.526629258159808,12.69271812913653,1.0732266666666668
19.289204214377143,29,18.85329791953476,12.255061685641513,1.0732266666666668
18.646277490026502,30,18.224856058034128,11.846606378915395,1.0732266666666668
18.044877716757142,31,17.63696026698658,11.464550835036714,1.0732266666666668
17.481160521530974,32,17.085810815645928,11.106468854864312,1.0732266666666668
16.951797187675385,33,16.568070036842382,10.7702779957562,1.0732266666666668
16.45394931795201,34,16.080795891303264,10.454239514030446,1.0732266666666668
15.985299096030262,35,15.621388458595193,10.15700957222074,1.0732266666666668
15.54417629349874,36,15.187548399916071,9.87778370090615,1.0732266666666668
15.129866882086047,37,14.777248222678796,9.616620035239203,1.0732266666666668
14.743274683803765,38,14.388720135250953,9.375113280294997,1.0732266666666668
14.388279710260305,39,14.020469724641142,9.157763470944067,1.0732266666666668
14.0744800226369,40,13.671335200679106,8.97472668930357,1.0732266666666668
13.82268826849273,41,13.340632648054783,8.847319162801675,1.0732266666666668
13.675919038339348,42,13.028468809245418,8.819011101831412,1.0732266666666668
13.721326230288847,43,12.736384717141224,8.977369641141562,1.0732266666666668
14.133982308949054,44,12.468656560177562,9.497842915009661,1.0732266666666668
15.26423061396906,45,12.234905407307961,10.731116539894987,1.0732266666666668
17.811969246813046,46,12.055316294795695,13.377401130871016,1.0732266666666668
23.174379433675043,47,11.971061851095357,18.834163830838172,1.0732266666666668
34.13972290218888,48,12.065109020399,29.889928457744432,1.0732266666666668
56.27166885640203,49,12.50374255548798,52.10860491082381,1.0732266666666668
100.67152214381397,50,13.61942630431442,96.59171947714731,1.0732266666666668
189.49004986110702,51,16.076153103676347,185.4902433251593,1.0732266666666668
366.9263120684481,52,21.199405362053444,363.0034248889609,1.0732266666666668
721.1765297752422,53,31.634617251747827,717.3276593349907,1.0732266666666668
1428.235886246308,54,52.661225328129966,1424.4582911845794,1.0732266666666668
2839.313460654665,55,94.8151134923672,2835.604549139513,1.0732266666666668
